多语言,亚洲最长语言,亚洲最长,其他最长语言,其他最长
获得<color=#EE2C2C><b>荣耀+1</b></color>装备,日语,<color=#EE2C2C><b>オナー+1</b></color>装備をゲット,俄语,Получите снаряжение <color=#EE2C2C>почет.+1</color> качества
获得<color=#EE2C2C><b>荣耀+2</b></color>装备,日语,<color=#EE2C2C><b>オナー+2</b></color>装備をゲット,俄语,Получите снаряжение <color=#EE2C2C>почет.+2</color> качества
获得<color=#EE2C2C><b>荣耀+3</b></color>装备,日语,<color=#EE2C2C><b>オナー+3</b></color>装備をゲット,俄语,Получите снаряжение <color=#EE2C2C>почет.+3</color> качества
获得<color=#EE2C2C><b>荣耀+4</b></color>装备,日语,<color=#EE2C2C><b>オナー+4</b></color>装備をゲット,俄语,Получите снаряжение <color=#EE2C2C>почет.+4</color> качества
全身装备<color=#3ABFE3><b>稀有</b></color>装备,日语,装着している装備がすべて<color=#3ABFE3><b>レア</b></color>,意大利语,Tutti gli equipaggiamenti indossati sono <color=#3ABFE3>rari</color>
全身装备<color=#D76CFF><b>史诗</b></color>装备,日语,装着している装備がすべて<color=#D76CFF><b>エピック</b></color>,意大利语,Tutti gli equipaggiamenti indossati sono <color=#D76CFF>epici</color>
全身装备<color=#FEE411><b>传说</b></color>装备,日语,装着している装備がすべて<color=#FEE411><b>レジェンダリー</b></color>,意大利语,Tutti gli equipaggiamenti indossati sono <color=#FEE411>leggendari</color>
全身装备<color=#EE2C2C><b>荣耀</b></color>装备,日语,装着している装備がすべて<color=#EE2C2C><b>オナー</b></color>,意大利语,Tutti gli equipaggiamenti indossati sono <color=#EE2C2C>onore</color>
随机传说装备,日语,ランダムレジェンダリー装備,意大利语,Equipaggiamento leggendario casuale
随机神级史诗装备,日语,ランダムエピックの遺物装備,法语,Équipement épique de relique aléatoire
获得一个<color=#69D963><b>优秀</b></color>装备或宠物解锁,日语,<color=#69D963><b>グッド</b></color>装備またはペット をゲットしてアンロック,德语,Hol dir zum Freischalten eine <color=#69D963>Gute</color> Ausrüstung oder ein entsprechendes Haustier.
获得一个<color=#3ABFE3><b>稀有</b></color>装备或宠物解锁,日语,<color=#3ABFE3><b>レア</b></color>装備またはペット をゲットしてアンロック,德语,Hol dir zum Freischalten eine <color=#3ABFE3>Seltene</color> Ausrüstung oder ein entsprechendes Haustier.
获得一个<color=#D76CFF><b>史诗</b></color>装备或宠物解锁,日语,<color=#D76CFF><b>エピック</b></color>装備またはペット をゲットしてアンロック,德语,Hol dir zum Freischalten eine <color=#D76CFF>Epische</color> Ausrüstung oder ein entsprechendes Haustier.
获得一个<color=#FEE411><b>传说</b></color>装备或宠物解锁,日语,<color=#FEE411><b>レジェンダリー</b></color>装備またはペット をゲットしてアンロック,德语,Hol dir zum Freischalten eine <color=#FEE411>Legendäre</color> Ausrüstung oder ein entsprechendes Haustier.
获得一个<color=#EE2C2C><b>荣耀</b></color>装备或宠物解锁,日语,<color=#EE2C2C><b>オナー</b></color>装備またはペットを ゲットしてアンロック,德语,Hol dir zum Freischalten eine <color=#EE2C2C>Ehrenhafte</color> Ausrüstung oder ein entsprechendes Haustier.
随机S级史诗宠物,日语,ランダムSグレードのエピックペット,法语,Familier épique de qualité S aléatoire
随机A级史诗宠物,日语,ランダムAグレードのエピックペット,法语,Familier épique de grade A aléatoire
砰砰排位赛本赛季时间为{0}-{1}\n每周一0:00（UTC+8）根据玩家段位进行分组，每组50人。\n每人每天有2次攻打机会，每次攻打消耗10点体力，会掉落金币、经验、食物，还有概率掉落宠物。\n拥有挑战券的玩家，可在每日次数用完后使用挑战券进入。\n周日晚24:00（UTC+8）进行结算，根据每个人本周对BOSS造成的累计总伤害计算排名，发放排名奖励。同时组内排名前15晋级更高段位，排名中间25段位不变，排名后10降至更低段位。\n段位分为青铜、白银、黄金、铂金、钻石、星耀、传说共7个段位，每个赛季首次达到白银及更高段位都会有丰厚的奖励。,韩语,"핀볼랭크 본 시즌 기간은 {0}-{1}입니다.\n매주 월요일 1:00 (UTC+9)에 플레이어들은 랭크에 따라 50명의 플레이어 그룹에 배치됩니다.\n각 플레이어에게는 매일 2번의 공격 기회가 있습니다. 각 공격은 10점의 에너지를 소모하고 코인, XP, 음식 및 펫 찬스가 드롭됩니다.\n플레이어는 매일 공격 횟수가 소진되면 도전 스크롤을 사용하여 입장할 수 있습니다.\n월요일 01:00 (UTC+9)에 최종 집계가 진행되고, 플레이어는 해당 주에 보스에게 가해진 총 데미지를 기준으로 랭크가 매겨집니다. 랭킹 보상이 지급됩니다. 동시에 그룹 상위 15명의 플레이어는 더 높은 랭크로 승격되고, 다음 25명의 플레이어는 랭크가 변경되지 않고 하위 10명의 플레이어는 랭크가 하락됩니다.\n랭크는 7레벨로 나뉩니다: 브론즈, 실버, 골드, 플래티넘, 다이아몬드, 스타 및 레전드. 매 시즌에 플레이어는 실버 또는 그 이상의 랭크를 최초 달성 시 푸짐한 보상이 지급됩니다.",德语,"Das PunRank-Hauptevent in dieser Saison findet von {0} bis {1} statt. Spieler werden jeden Montag um 0:00 (UTC+8) entsprechend ihres Ranges in Gruppen zu je 50 Spielern eingeteilt.\nJeder Spieler erhält 2 Angriffschancen pro Tag. Jeder Angriff verbraucht 10 Energiepunkte und gewährt Münzen, ERF, Nahrung wie auch eine Chance auf ein Haustier.\nSpieler können Herausforderungsrollen einsetzen, um teilzunehmen, wenn das tägliche Angriffslimit überschritten wurde.\nSonntag Nacht um 24:00 (UTC +8) erfolgt eine letzte Abrechnung und anschließend erhält jeder Spieler auf Basis seines am Boss verursachten Gesamschadens dieser Woche seinen entsprechenden Rang. Es werden Ranglisten-Belohnungen vergeben. Gleichzeitig steigen die Top 15 Spieler der Gruppe zu einem höheren Rang auf, während die folgenden 25 Spieler auf ihrem aktuellen Rang verbleiben. Die schlechtesten 10 Spieler der Gruppe erleiden eine Verringerung ihres Ranges und steigen ab.\nEs gibt 7 Rang-Stufen: Bronze, Silber, Gold, Platin, Diamant, Stern und Legendär. Jede Saison werden alle Spieler großzügig belohnt, wenn sie zum 1. Mal einen Rang in Höhe von Gold oder höher erreichen."
挑战券,日语,ポンランク挑戦券,德语,Herausforderungsrolle
拥有挑战券的玩家，可在每日次数用完后使用挑戰券进入。,韩语,매일 횟수가 소진되면 도전 스크롤을 사용하여 입장할 수 있습니다.,法语,Les joueurs peuvent utiliser un Parchemin de défi pour participer une fois que leur limite de défis quotidiens est épuisée.
随机A级传说宠物,日语,ランダムAグレードレジェンダリーペット,法语,Familier légendaire de grade A aléatoire
随机史诗装备,日语,ランダムエピックの装備,俄语,Случайное эпическое снаряжение
随机获得一件史诗装备,日语,ランダムに選択されたエピックの装備を1つゲットしよう,德语,Erhalte 1 zufälligen Epischen Ausrüstungsgegenstand
